"","ID","Lat","Lon","Year","Miss Tmax","Miss Tmin","Miss Prcp","Avg Temp","Avg Tmax","Avg Tmin","ToT Prcp","Max Tmax","Min Tmax","Max Tmin","Min Tmin","Warm Days","Warm Nights","Cold Days","Cold Nights","Max 1-day P","Max 5-day P","Wet Days"
"1893-12-31","USW00094224",46.1569,-123.8825,1893,0,0,0,50.03,55.65,44.42,91.68,85,27,60,16,6.03,9.59,15.34,6.3,3.4,7.62,37.48
"1894-12-31","USW00094224",46.1569,-123.8825,1894,0,0,0,51,56.69,45.31,88.84,88,35,67,24,8.77,15.07,19.45,5.75,2.16,5.46,33
"1895-12-31","USW00094224",46.1569,-123.8825,1895,0,0,0,51.5,57.8,45.2,70.75,91,38,65,27,9.59,10.41,12.6,4.66,4.93,7.83,31.99
"1896-12-31","USW00094224",46.1569,-123.8825,1896,0,0,0,51.66,57.7,45.61,94.81,86,31,64,19,10.14,19.45,12.05,6.58,4.31,7.87,37.14
"1897-12-31","USW00094224",46.1569,-123.8825,1897,1,1,0,51.92,57.73,46.12,85.06,84,35,63,24,9.59,17.26,16.71,5.75,2.58,5.1,36.91
"1898-12-31","USW00094224",46.1569,-123.8825,1898,0,0,0,51.74,57.75,45.73,68.72,90,37,63,27,7.95,16.44,12.88,3.56,3.3,6.42,14.3
"1899-12-31","USW00094224",46.1569,-123.8825,1899,0,0,0,51.28,56.96,45.6,101.4,86,27,62,15,6.03,10.96,8.22,5.48,3.22,8.14,48.33
"1900-12-31","USW00094224",46.1569,-123.8825,1900,1,1,0,51.85,57.77,45.93,85.57,82,33,60,25,4.11,10.68,6.03,3.29,3.16,5.24,34.95
"1901-12-31","USW00094224",46.1569,-123.8825,1901,1,1,0,50.35,56.23,44.48,77.87,84,37,59,28,3.84,4.38,13.15,7.4,4.1,5.96,30.38
"1902-12-31","USW00094224",46.1569,-123.8825,1902,1,1,0,51.55,58.29,44.8,86.48,86,28,61,19,9.04,7.4,9.59,3.84,3.42,7.08,38.88
"1903-12-31","USW00094224",46.1569,-123.8825,1903,1,1,0,51.66,58.69,44.62,74.63,94,38,64,27,10.68,8.77,11.51,7.12,3.2,7.54,36.36
"1904-12-31","USW00094224",46.1569,-123.8825,1904,2,2,0,51.97,58.56,45.38,88.67,81,39,60,28,8.49,9.86,12.05,6.85,5.35,9.44,33.92
"1905-12-31","USW00094224",46.1569,-123.8825,1905,5,7,0,52.1,58.76,45.44,72.63,94,36,60,21,5.75,13.7,7.12,4.66,2.1,5.61,26.22
"1906-12-31","USW00094224",46.1569,-123.8825,1906,4,6,0,52.91,59.47,46.34,82.73,95,37,71,25,10.68,16.44,8.77,4.38,3.25,7.94,36.49
"1907-12-31","USW00094224",46.1569,-123.8825,1907,7,5,0,52.92,58.91,46.94,73.92,81,33,67,18,6.85,18.9,12.05,3.84,3.6,7.9,36.9
"1908-12-31","USW00094224",46.1569,-123.8825,1908,6,3,0,53.82,62.88,44.76,56.61,93,38,59,28,26.58,8.22,6.3,4.93,3.01,6.3,28.64
"1909-12-31","USW00094224",46.1569,-123.8825,1909,101,103,61,51.74,59.79,43.68,50.21,89,25,58,15,9.86,3.84,6.58,5.48,2.75,6.35,24.55
"1910-12-31","USW00094224",46.1569,-123.8825,1910,8,8,8,51.52,57.57,45.46,83.89,82,40,60,29,4.66,5.75,9.32,4.11,4.25,9.91,44.16
"1911-12-31","USW00094224",46.1569,-123.8825,1911,0,1,0,50.36,56.8,43.93,58.14,89,33,61,24,6.03,9.04,13.97,8.77,2.75,5.04,14.25
"1912-12-31","USW00094224",46.1569,-123.8825,1912,2,2,0,51.96,58.75,45.17,85.33,90,34,65,28,10.96,10.41,6.3,3.84,3.15,7,35.49
"1913-12-31","USW00094224",46.1569,-123.8825,1913,0,0,0,51.15,57.85,44.45,71.21,93,33,62,24,7.95,13.15,13.7,8.49,2.3,6.42,26.67
"1914-12-31","USW00094224",46.1569,-123.8825,1914,2,3,0,52.24,58.69,45.78,77.1,86,37,58,27,8.49,10.41,8.77,4.93,3.14,10.48,25.82
"1915-12-31","USW00094224",46.1569,-123.8825,1915,0,0,0,52.95,59.33,46.57,79.23,95,36,64,25,10.68,16.16,9.32,3.01,4.19,7.07,37.5
"1916-12-31","USW00094224",46.1569,-123.8825,1916,0,0,0,50.47,57.56,43.37,92.5,88,27,70,19,9.32,12.33,14.52,14.79,4.91,10.35,49.55
"1917-12-31","USW00094224",46.1569,-123.8825,1917,61,61,61,52.16,59.54,44.79,49.83,85,35,60,21,14.25,9.86,7.95,9.86,2.16,3.91,12.62
"1918-12-31","USW00094224",46.1569,-123.8825,1918,14,14,14,53.01,59.2,46.81,64.07,91,38,64,26,12.05,18.36,10.68,4.11,2.4,5.57,21.38
"1919-12-31","USW00094224",46.1569,-123.8825,1919,0,0,2,52.25,58.58,45.92,80.67,89,24,68,10,13.15,17.81,10.14,6.58,6.98,10.63,35.69
"1920-12-31","USW00094224",46.1569,-123.8825,1920,1,6,0,51.25,58.18,44.33,80.9,86,38,61,26,11.23,12.6,9.04,7.4,2.5,7.3,37.24
"1921-12-31","USW00094224",46.1569,-123.8825,1921,4,9,0,51.61,58.11,45.12,93.69,78,33,59,25,7.12,11.51,12.6,6.3,2.91,9,44.49
"1922-12-31","USW00094224",46.1569,-123.8825,1922,16,22,11,51.14,57.74,44.53,58.86,91,30,65,20,11.78,12.05,15.34,11.78,2.3,4.34,14.01
"1923-12-31","USW00094224",46.1569,-123.8825,1923,2,41,0,50.68,56.25,45.11,55.4,85,31,61,21,8.77,11.23,20.55,6.85,1.89,5.21,12.96
"1924-12-31","USW00094224",46.1569,-123.8825,1924,2,5,0,50.48,57.84,43.11,67.9,91,23,57,13,8.22,3.56,10.96,10.41,1.85,5.16,26.64
"1925-12-31","USW00094224",46.1569,-123.8825,1925,0,2,0,51.92,59.6,44.25,62.91,96,44,61,30,9.32,5.48,3.29,4.11,2.55,7.21,17.95
"1926-12-31","USW00094224",46.1569,-123.8825,1926,21,21,12,52.37,60.1,44.64,70.63,91,30,57,21,10.41,3.56,6.3,4.38,2.25,4.94,24.57
"1927-12-31","USW00094224",46.1569,-123.8825,1927,1,0,0,50.38,57.05,43.71,90.97,90,25,60,17,3.84,7.4,11.78,10.68,5,6.66,35.41
"1928-12-31","USW00094224",46.1569,-123.8825,1928,2,1,0,51.54,58.43,44.65,69.49,91,33,59,22,7.4,5.21,8.49,7.12,1.9,4.63,22.5
"1929-12-31","USW00094224",46.1569,-123.8825,1929,1,0,0,51.49,59,43.98,52.62,85,33,60,22,17.81,10.14,12.33,11.51,3.17,5.08,13.97
"1930-12-31","USW00094224",46.1569,-123.8825,1930,1,0,0,51.18,58.44,43.92,58.28,81,28,60,15,11.51,10.41,12.05,10.41,2.09,5.4,18.52
"1931-12-31","USW00094224",46.1569,-123.8825,1931,7,3,0,53.01,60.49,45.52,88.47,88,40,63,28,15.07,13.42,7.67,5.48,3.23,7.64,37.81
"1932-12-31","USW00094224",46.1569,-123.8825,1932,0,1,0,51.91,58.84,44.97,98.89,88,32,61,17,10.68,13.97,11.78,10.96,3.49,8.07,46.7
"1933-12-31","USW00094224",46.1569,-123.8825,1933,0,0,0,50.81,57.92,43.7,114.03,90,31,58,13,7.4,4.93,9.86,8.22,4.33,11.51,58.72
"1934-12-31","USW00094224",46.1569,-123.8825,1934,6,0,0,54.57,62.05,47.09,82.58,91,43,59,32,9.59,14.52,1.37,0.82,2.77,8.1,38.92
"1935-12-31","USW00094224",46.1569,-123.8825,1935,7,0,0,51.66,59.3,44.01,62.92,90,28,66,16,11.23,10.68,7.67,11.51,3.43,6.28,23.44
"1936-12-31","USW00094224",46.1569,-123.8825,1936,3,0,0,52.3,60.28,44.32,69.74,85,34,64,23,21.1,8.77,9.59,12.05,2.6,6.44,29.42
"1937-12-31","USW00094224",46.1569,-123.8825,1937,0,0,0,51.7,59.58,43.82,93.31,85,30,59,17,15.34,7.95,12.6,11.78,3.06,6.92,42.43
"1938-12-31","USW00094224",46.1569,-123.8825,1938,2,0,0,51.7,60.21,43.19,64.72,89,42,57,28,11.51,3.56,6.3,11.78,2.39,5.13,17.96
"1939-12-31","USW00094224",46.1569,-123.8825,1939,4,0,0,51.92,60.35,43.48,71.09,92,33,63,21,13.7,4.93,5.48,7.95,2.82,8.65,25.14
"1940-12-31","USW00094224",46.1569,-123.8825,1940,2,1,0,54.22,62.93,45.5,72.4,92,41,59,28,20.82,10.96,2.47,5.75,2.54,7.44,24.78
"1941-12-31","USW00094224",46.1569,-123.8825,1941,0,0,0,54.33,63.53,45.13,58.94,95,40,62,25,19.73,7.67,2.47,4.66,1.96,5.82,14.81
"1942-12-31","USW00094224",46.1569,-123.8825,1942,0,0,0,52.27,61.47,43.08,72.12,101,35,69,18,18.63,7.95,5.48,11.23,3.45,6.76,24.64
"1943-12-31","USW00094224",46.1569,-123.8825,1943,173,173,0,45.41,54.43,36.39,62.8,79,29,50,11,1.1,0,5.48,18.08,4,7.2,24.05
"1944-12-31","USW00094224",46.1569,-123.8825,1944,11,12,0,51.63,58.78,44.48,58.54,88,38,60,27,8.22,7.95,7.67,8.49,1.82,4.56,18.21
"1945-12-31","USW00094224",46.1569,-123.8825,1945,1,1,0,50.63,57.54,43.73,81.22,85,38,58,29,10.96,3.84,10.68,8.49,2.73,5.22,26.25
"1946-12-31","USW00094224",46.1569,-123.8825,1946,1,0,0,50.66,57.3,44.02,91.27,91,38,68,27,9.04,4.93,12.33,6.85,3.03,6.98,40.54
"1947-12-31","USW00094224",46.1569,-123.8825,1947,0,2,0,51.66,58.93,44.4,78.66,85,32,58,21,9.04,6.85,11.78,7.67,2.53,6.18,32.9
"1948-12-31","USW00094224",46.1569,-123.8825,1948,1,0,0,48.78,56.25,41.32,91.19,88,35,61,25,6.58,3.01,18.36,18.36,3.49,7.77,41.66
"1949-12-31","USW00094224",46.1569,-123.8825,1949,0,1,2,48.89,57.63,40.16,71.1,85,30,55,17,9.04,0.27,17.53,17.81,2.57,6.09,35.73
"1950-12-31","USW00094224",46.1569,-123.8825,1950,0,0,3,49.86,56.74,42.98,113.34,84,24,62,14,6.58,5.75,12.88,10.68,4.41,8.65,58.63
"1951-12-31","USW00094224",46.1569,-123.8825,1951,0,0,2,50.42,57.38,43.47,84.25,91,31,60,20,7.12,7.67,16.16,11.23,2.3,7.48,49.08
"1952-12-31","USW00094224",46.1569,-123.8825,1952,0,0,0,50.48,57.32,43.63,60.21,87,30,60,25,7.67,6.03,18.63,11.51,2.14,5.96,17.84
"1953-12-31","USW00094224",46.1569,-123.8825,1953,16,15,15,51.95,59.03,44.88,70.73,88,45,59,26,7.12,9.32,1.37,4.66,2.8,5,23.74
"1954-12-31","USW00094224",46.1569,-123.8825,1954,0,0,0,50.32,57.68,42.96,75.29,78,36,59,24,3.01,4.93,7.12,15.07,3.33,7.41,33.52
"1955-12-31","USW00094224",46.1569,-123.8825,1955,1,1,0,48.39,55.27,41.51,83.86,92,27,57,15,2.74,4.11,16.71,17.26,2.91,6.59,34.84
"1956-12-31","USW00094224",46.1569,-123.8825,1956,0,0,0,49.69,56.84,42.54,76.33,89,34,59,20,5.48,6.3,14.52,15.07,2.5,7.59,30.01
"1957-12-31","USW00094224",46.1569,-123.8825,1957,0,0,0,50.84,58.67,43.01,60.33,91,31,59,15,7.4,6.3,10.41,13.7,1.62,5.29,15.17
"1958-12-31","USW00094224",46.1569,-123.8825,1958,1,0,0,53.08,60.74,45.42,72.24,90,44,60,27,12.6,13.97,1.92,5.75,2.94,5.52,24.61
"1959-12-31","USW00094224",46.1569,-123.8825,1959,1,0,0,50.64,57.99,43.3,74.41,86,30,58,17,6.58,6.58,7.12,10.14,3.41,6.9,20.97
"1960-12-31","USW00094224",46.1569,-123.8825,1960,0,0,0,50.44,57.86,43.01,71.25,85,35,58,22,6.85,5.48,9.04,12.88,2.52,6.24,21.71
"1961-12-31","USW00094224",46.1569,-123.8825,1961,1,0,0,51.21,58.51,43.91,80.39,85,34,59,25,9.32,9.86,7.12,8.77,2.46,7.07,24.88
"1962-12-31","USW00094224",46.1569,-123.8825,1962,0,0,0,50.38,57.61,43.15,64.23,86,31,60,14,5.48,5.75,8.22,13.15,2.8,5.23,19.78
"1963-12-31","USW00094224",46.1569,-123.8825,1963,0,0,0,51.48,58.82,44.14,63.58,84,26,60,15,7.95,10.68,7.12,11.78,1.56,4.64,17.34
"1964-12-31","USW00094224",46.1569,-123.8825,1964,0,0,0,49.61,57,42.23,73.49,86,28,57,15,7.12,4.38,9.59,13.7,2.56,5.85,22.59
"1965-12-31","USW00094224",46.1569,-123.8825,1965,0,0,0,51.13,58.53,43.73,63.74,82,36,59,24,8.77,8.49,9.04,12.6,2.51,6.42,20.19
"1966-12-31","USW00094224",46.1569,-123.8825,1966,1,0,0,50.67,58.35,42.99,63.77,89,38,58,25,9.32,5.48,8.22,12.33,1.88,7.03,17.2
"1967-12-31","USW00094224",46.1569,-123.8825,1967,1,0,0,50.8,58.41,43.18,66.95,89,35,59,23,15.34,7.4,7.67,14.25,2.23,4.91,16.54
"1968-12-31","USW00094224",46.1569,-123.8825,1968,0,0,0,50.55,57.93,43.17,87.39,86,23,58,19,7.12,6.03,8.22,13.7,2.6,5.2,31.49
"1969-12-31","USW00094224",46.1569,-123.8825,1969,0,0,0,49.59,57.2,41.98,62.71,83,29,59,11,5.75,9.86,12.6,18.08,2.5,5.62,16.46
"1970-12-31","USW00094224",46.1569,-123.8825,1970,1,0,0,50,57.98,42.02,70.51,84,37,57,24,9.04,4.93,10.14,16.44,2.8,5.39,30.08
"1971-12-31","USW00094224",46.1569,-123.8825,1971,0,0,0,49.72,56.83,42.61,79.27,83,32,61,21,9.86,8.22,12.88,15.62,2.88,6.62,23.93
"1972-12-31","USW00094224",46.1569,-123.8825,1972,3,0,0,50.87,58.33,43.41,67.44,95,26,62,6,11.78,9.86,10.68,10.96,2.39,6.11,24.81
"1973-12-31","USW00094224",46.1569,-123.8825,1973,0,0,0,50.33,58.06,42.59,65.15,89,31,58,19,6.3,5.21,6.85,12.88,2.53,5.1,19.78
"1974-12-31","USW00094224",46.1569,-123.8825,1974,0,0,0,50.68,57.81,43.55,72.96,85,32,61,15,8.22,10.68,10.14,9.86,3.59,5.24,23.48
"1975-12-31","USW00094224",46.1569,-123.8825,1975,0,0,0,50.38,57.16,43.61,80.78,87,37,59,25,7.12,8.77,10.41,12.33,3.1,8.71,34.91
"1976-12-31","USW00094224",46.1569,-123.8825,1976,0,0,0,51.33,58.77,43.89,48.92,82,41,61,20,8.22,11.23,6.58,10.96,1.72,4.17,11.2
"1977-12-31","USW00094224",46.1569,-123.8825,1977,0,0,0,50.48,57.93,43.02,67.99,88,36,60,20,6.3,7.67,8.49,9.04,2.62,6.14,24.69
"1978-12-31","USW00094224",46.1569,-123.8825,1978,1,0,0,50.92,58.49,43.35,57.53,86,25,59,11,6.85,11.78,10.41,16.99,1.45,3.93,9.62
"1979-12-31","USW00094224",46.1569,-123.8825,1979,0,0,0,51.62,59.3,43.95,66.09,88,31,60,14,12.33,12.05,10.14,12.6,2.33,4.76,26.04
"1980-12-31","USW00094224",46.1569,-123.8825,1980,1,0,0,51.47,58.52,44.42,62.63,85,31,60,11,4.11,12.33,7.12,8.22,1.89,4.08,18.36
"1981-12-31","USW00094224",46.1569,-123.8825,1981,1,0,0,52.67,60.24,45.09,68.44,88,41,59,27,6.85,12.88,3.01,6.3,2.14,4.79,21.58
"1982-12-31","USW00094224",46.1569,-123.8825,1982,1,0,0,51.11,58.4,43.81,75.32,82,31,59,15,9.04,10.41,7.12,12.33,3.84,7.58,30.61
"1983-12-31","USW00094224",46.1569,-123.8825,1983,0,0,0,52.52,60.05,44.98,78.82,81,24,60,13,8.22,10.41,6.03,8.49,2.59,8.23,26.64
"1984-12-31","USW00094224",46.1569,-123.8825,1984,0,0,0,50.41,57.72,43.09,68.63,85,36,60,20,7.67,6.85,6.58,11.78,2.23,4.88,17.66
"1985-12-31","USW00094224",46.1569,-123.8825,1985,2,0,0,48.73,56.64,40.81,41.58,87,29,58,19,6.3,7.4,13.42,26.85,1.49,4.19,8.61
"1986-12-31","USW00094224",46.1569,-123.8825,1986,0,0,0,51.82,59.22,44.42,63.71,81,42,59,27,6.85,10.14,3.56,7.67,2.73,8.71,28.26
"1987-12-31","USW00094224",46.1569,-123.8825,1987,0,0,0,51.98,60.02,43.95,47.53,86,38,57,24,9.32,8.49,6.03,11.51,2.7,5.22,14.41
"1988-12-31","USW00094224",46.1569,-123.8825,1988,1,0,0,50.93,58.71,43.15,55.2,88,37,58,24,8.49,6.58,8.22,10.41,2.7,4.27,15.26
"1989-12-31","USW00094224",46.1569,-123.8825,1989,2,0,0,51.15,58.72,43.58,55.17,89,19,60,9,8.77,9.04,8.49,12.33,2.32,5.6,18.79
"1990-12-31","USW00094224",46.1569,-123.8825,1990,1,0,0,51.47,58.68,44.26,72.59,86,21,61,6,10.96,14.79,8.22,12.6,4.53,8.2,24.54
"1991-12-31","USW00094224",46.1569,-123.8825,1991,0,0,0,50.62,57.71,43.52,57.27,86,38,61,23,7.95,8.77,7.12,10.68,2.73,6.33,21.49
"1992-12-31","USW00094224",46.1569,-123.8825,1992,2,0,0,51.88,59.54,44.23,48.65,85,37,61,25,8.22,9.32,6.3,7.67,1.87,4.67,9.92
"1993-12-31","USW00094224",46.1569,-123.8825,1993,1,0,0,50.53,57.52,43.54,53.06,84,33,59,16,5.48,10.68,11.78,18.08,2.53,5.59,11.66
"1994-12-31","USW00094224",46.1569,-123.8825,1994,0,0,0,51.02,58.26,43.77,75.81,85,37,60,21,7.67,9.86,6.85,15.34,3.15,5.78,29.11
"1995-12-31","USW00094224",46.1569,-123.8825,1995,2,0,0,52.45,59.42,45.48,76.5,89,36,60,24,6.3,10.68,3.29,6.58,3.68,8.85,25.09
"1996-12-31","USW00094224",46.1569,-123.8825,1996,0,0,0,50.8,58.04,43.57,92.7,86,32,59,21,7.95,6.58,9.86,10.41,3.71,8.97,37.88
"1997-12-31","USW00094224",46.1569,-123.8825,1997,0,0,0,52.61,59.76,45.45,85.48,86,40,61,20,9.04,14.52,5.48,7.4,2.67,6.8,32.16
"1998-12-31","USW00094224",46.1569,-123.8825,1998,0,0,0,51.35,57.8,44.91,89.15,78,26,60,16,7.4,7.67,5.21,7.12,5.56,8.18,35.05
"1999-12-31","USW00094224",46.1569,-123.8825,1999,1,0,0,51.64,58.47,44.82,87.58,86,42,60,29,7.95,12.88,4.11,6.03,2.6,6.25,32.7
"2000-12-31","USW00094224",46.1569,-123.8825,2000,1,0,0,52.33,59.38,45.27,51.61,82,40,62,27,8.49,13.7,3.29,6.3,1.31,3.32,6.82
"2001-12-31","USW00094224",46.1569,-123.8825,2001,1,1,0,50.86,57.96,43.75,60.46,86,41,60,27,5.21,8.22,3.84,8.22,2.62,5.54,18.57
"2002-12-31","USW00094224",46.1569,-123.8825,2002,0,0,0,51.27,58.47,44.08,56.1,95,40,61,27,7.67,9.32,6.3,9.32,2.23,5.15,17.29
"2003-12-31","USW00094224",46.1569,-123.8825,2003,1,0,0,52.28,59.35,45.21,67.21,84,37,62,26,11.23,10.41,5.48,6.85,2.48,5.11,19.97
"2004-12-31","USW00094224",46.1569,-123.8825,2004,3,1,0,52.61,59.61,45.6,63.99,87,30,62,25,10.14,16.71,4.38,6.3,2.59,5.96,19.41
"2005-12-31","USW00094224",46.1569,-123.8825,2005,1,0,0,52.05,59.32,44.77,69.68,85,41,60,23,7.67,12.05,7.95,11.78,2.61,6.16,27.26
"2006-12-31","USW00094224",46.1569,-123.8825,2006,1,0,0,51.06,58.31,43.8,79.85,87,36,59,19,6.85,8.77,7.67,9.59,3.33,10.13,37.25
"2007-12-31","USW00094224",46.1569,-123.8825,2007,1,0,0,50.55,57.46,43.63,64.39,88,33,62,22,5.48,11.23,9.59,13.42,2.21,4.18,21.56
"2008-12-31","USW00094224",46.1569,-123.8825,2008,1,0,0,49.96,56.67,43.25,62.84,83,33,63,23,7.12,8.49,11.23,14.52,3.69,6.4,13.66
"2009-12-31","USW00094224",46.1569,-123.8825,2009,1,0,0,51.26,58.62,43.91,67.6,92,33,60,15,9.04,15.89,7.4,14.25,3.96,6.49,28.73
"2010-12-31","USW00094224",46.1569,-123.8825,2010,2,0,0,51.74,58.16,45.33,79.81,86,31,60,21,4.66,11.78,4.38,4.66,2.32,4.8,24.44
"2011-12-31","USW00094224",46.1569,-123.8825,2011,0,0,0,49.83,56.64,43.02,68.89,84,37,61,21,5.21,9.32,12.6,15.62,2.34,6.26,22.45
"2012-12-31","USW00094224",46.1569,-123.8825,2012,0,0,0,50.61,57.34,43.87,91.29,92,36,58,24,5.48,9.32,9.04,9.59,2.71,7.12,39.91
"2013-12-31","USW00094224",46.1569,-123.8825,2013,0,0,0,50.88,57.61,44.15,59.2,85,29,62,13,6.58,15.62,8.49,13.97,3.56,7.26,20.01
"2014-12-31","USW00094224",46.1569,-123.8825,2014,0,0,0,53.43,60.49,46.37,72.87,89,29,60,20,13.97,18.63,4.66,9.32,2.29,4.39,26.2
"2015-12-31","USW00094224",46.1569,-123.8825,2015,1,0,0,53.98,61.7,46.25,73.78,86,41,61,27,15.07,15.07,3.29,6.03,3.22,8.56,37.09
"2016-12-31","USW00094224",46.1569,-123.8825,2016,2,2,0,54.19,61.18,47.2,86.85,98,39,61,27,10.68,19.45,5.48,4.11,3.54,8.29,34.36
"2017-12-31","USW00094224",46.1569,-123.8825,2017,2,0,0,51.2,58.27,44.13,84,91,37,59,22,8.22,10.96,10.68,9.86,3.79,7.37,39.53
"2018-12-31","USW00094224",46.1569,-123.8825,2018,0,0,1,52.25,59.25,45.25,64.33,86,37,59,23.2,8.49,13.15,3.56,8.77,2.13,5.19,20.14
"2019-12-31","USW00094224",46.1569,-123.8825,2019,0,0,0,51.55,58.76,44.33,51.51,91,37.9,62.1,24.3,9.86,14.52,10.14,16.71,3.42,5.7,17.77
"2020-12-31","USW00094224",46.1569,-123.8825,2020,0,0,0,51.7,58.87,44.53,64.54,87.1,39,62.1,27.1,9.59,11.51,4.66,13.15,2.63,4.73,21.66
"2021-12-31","USW00094224",46.1569,-123.8825,2021,1,1,1,51.34,58.28,44.4,76.65,100.9,31.1,61,26.2,9.86,14.25,8.22,13.97,3.2,6.14,31.15
